Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
162,Isle of Man,"38,008",,116,,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
163,Lesotho,"34,790",,723,,"25,980","8,087",,"15,990",332,"431,221","198,199","2,175,699"
164,Faeroe Islands,"34,658",,28,,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233"
165,Haiti,"34,228",,860,,"33,342",26,,"2,930",74,"132,422","11,337","11,680,283"
166,Mali,"33,144",,743,,"32,321",80,,"1,543",35,"803,224","37,405","21,473,764"
167,Cayman Islands,"31,472",,37,,"8,553","22,882",1,"467,797",550,"222,773","3,311,280","67,277"
168,Saint Lucia,"30,052",,409,,"29,095",548,,"162,344","2,209","210,983","1,139,752","185,113"
169,Benin,"28,014",,163,,"27,847",4,,"2,191",13,"604,310","47,268","12,784,726"
170,Somalia,"27,334",,"1,361",,"13,182","12,791",,"1,623",81,"400,466","23,778","16,841,795"
171,Micronesia,"26,080",,65,,N/A,N/A,1,"221,978",553,"81,349","692,397","117,489"
172,Congo,"25,375",,386,,"24,006",983,,"4,377",67,"347,815","59,991","5,797,805"
173,Solomon Islands,"24,575",,153,,N/A,N/A,1,"34,077",212,,,"721,159"
174,San Marino,"24,069",,125,,"23,868",76,4,"706,146","3,667","196,855","5,775,414","34,085"
175,Timor-Leste,"23,428",,138,,"23,102",188,,"17,108",101,"278,529","203,391","1,369,429"
176,Burkina Faso,"22,056",,396,,"21,596",64,,998,18,"248,995","11,265","22,102,838"
177,Liechtenstein,"21,437",,91,,"21,345",1,,"558,444","2,371","112,457","2,929,559","38,387"
178,Gibraltar,"20,550",,113,,"16,579","3,858",,"609,720","3,353","534,283","15,852,213","33,704"
179,Grenada,"19,693",,238,,"19,358",97,4,"173,545","2,097","182,981","1,612,523","113,475"
180,Bermuda,"18,860",,165,,"18,685",10,,"304,493","2,664","1,029,558","16,622,128","61,939"
181,Nicaragua,"18,491",,225,,"4,225","14,041",,"2,728",33,,,"6,779,100"
182,South Sudan,"18,368",,138,,"18,115",115,1,"1,581",12,"410,280","35,313","11,618,511"
183,Tajikistan,"17,786",,125,,"17,264",397,,"1,786",13,,,"9,957,464"
184,Equatorial Guinea,"17,229",,183,,"16,907",139,5,"11,512",122,"365,697","244,342","1,496,662"
185,Tonga,"16,814",,13,,"15,638","1,163",,"156,048",121,"535,009","4,965,327","107,749"
186,Samoa,"16,737",,31,,"1,605","15,101",,"82,759",153,"187,397","926,612","202,239"
187,Monaco,"16,178",,67,,"15,992",119,4,"406,656","1,684","78,646","1,976,875","39,783"
188,Marshall Islands,"16,081",,17,,"15,954",110,,"267,762",283,,,"60,057"
189,Dominica,"15,760",,74,,"15,673",13,,"217,848","1,023","229,344","3,170,187","72,344"
190,Djibouti,"15,690",,189,,"15,427",74,,"15,441",186,"305,941","301,094","1,016,097"
191,CAR,"15,368",,113,,"15,200",55,2,"3,063",23,"81,294","16,205","5,016,678"
192,Gambia,"12,626",,372,,"12,189",65,,"4,935",145,"155,686","60,851","2,558,482"
193,Saint Martin,"12,293",,63,,"1,399","10,831",7,"309,414","1,586","112,382","2,828,643","39,730"
194,Vanuatu,"12,014",,14,,"11,976",24,,"37,330",44,"24,976","77,606","321,832"
195,Greenland,"11,971",,21,,"2,761","9,189",4,"210,117",369,"164,926","2,894,810","56,973"
196,Yemen,"11,945",,"2,159",,"9,124",662,23,383,69,"329,592","10,579","31,154,867"
197,Caribbean Netherlands,"11,682",,38,,"10,476","1,168",,"438,398","1,426","30,126","1,130,559","26,647"
